id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente
P21-71,11-07-2021,Ciego de Ávila,Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles para exigir libertad. Reportan desde la ciudad protestas cerca del hospital de Ciego de Ávila, Calle 2, Parque Juanita, Los Elevados, Parque Martí, Honorato del Castillo, Independencia y Honorato del Castillo, Marcial Gómez e Independencia, Marcial Gómez e/ Cuba y República, Calle Marcial Gómez, Marcial Gómez y Ciego de Ávila, Marcial Gómez y Línea del Ferrocarril, Línea del Ferrocarril y Marcial Gómez.",Estado cubano,"""Libertad"", ""Patria y Vida"", ""Queremos un cambio"", ""Díaz-Canel, singao"", ""El pueblo es el que llama"", cantan el Himno Nacional.",Militares y policías responden ante la manifestación con consignas revolucionarias. Grupos de respuesta rápida se enfrentan a pedradas contra los manifestantes.,https://www.youtube.com/watch?v=x8oChqYTKK0 https://www.youtube.com/watch?v=XSH9XQ6uJa8 https://www.youtube.com/watch?v=hTlnHxDJxhM
P21-72,11-07-2021,"El Canal del Cerro, La Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Manifestantes salen a las calles para exigir libertad. Calle Salvador y Bella Vista.,Estado cubano,"""Libertad"", ""Patria y Vida"", ""Queremos un cambio"", ""Díaz-Canel, singao"", ""El pueblo es el que llama"", cantan el Himno Nacional.",Ocurren enfrentamientos entre la policía y los manifestantes. Intentan arrestar a varios manifestantes a la fuerza.,https://www.youtube.com/watch?v=s528WzMce0o
P21-73,11-07-2021,"La Marina, Matanzas",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Manifestantes salen a las calles para exigir libertad.,Estado cubano,"""Libertad"", ""Patria y Vida""",NULL,NULL
P21-74,11-07-2021,"Parque de los Chivos, Cienfuegos",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Manifestantes salen a las calles para exigir libertad.,Estado cubano,"""Libertad"", ""Patria y Vida"", ""Abajo el comunismo"", ""Díaz-Canel, singao"", ""Policía pinga""",NULL,https://www.youtube.com/watch?v=_OQqcDZXm2M
P21-75,11-07-2021,"Avenida 50, Cienfuegos",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles para exigir libertad. Transitan por las calles San Carlos y Bouyón, Teatro Tomás Terry, Santa Isabel y San Carlos.",Estado cubano,"""Abajo la dictadura"", ""Díaz-Canel, singao"", ""Abajo Díaz-Canel""",Militares y paramilitares reprimen a manifestantes frente al teatro. Ocurren enfrentamientos entre los manifestantes y defensores del gobierno que se encuentran en el parque Martí.,https://www.youtube.com/watch?v=XMhmPdF4JK4 https://www.youtube.com/watch?v=ao4TVdBfJzI https://www.youtube.com/watch?v=7PMVee6yjk8  https://www.youtube.com/watch?v=iV-PzJcyuXc
P21-76,11-07-2021,Cienfuegos,Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles para exigir libertad. Transitan por las calles Santa Elena y D'Clouet, Santa Elena e/ D'Clouet y Hourruitiner, Paseo del Prado e/ Santa Elena y Santa Cruz, Prado y San Carlos, Paseo del Prado y San Fernando, Prado y Argüelles, San Fernando y Cristina, Cristina e/ Argüelles y San Fernando, San Carlos y Cristina.",Estado cubano,"""Abajo la dictadura"", ""Díaz-Canel, singao"", ""Abajo Díaz-Canel""",NULL,https://www.youtube.com/watch?v=Z8M3TEh2328
P21-77,11-07-2021,"Malecón, Centro Habana, La Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles para exigir libertad. La protesta avanza por Blanco y Malecón, Malecón e/ Campanario y Perseverancia, Malecón e/ Perseverancia y Lealtad.",Estado cubano,"""Libertad"", ""Patria y Vida"", ""Únanse""",Policía y Seguridad del Estado detienen y golpean a Franco Alvero. Hay presencia de militares que intentan agredir a los manifestantes.,https://www.youtube.com/watch?v=lxfMGaCRmDM https://www.youtube.com/watch?v=5XRYwXyvqbU https://www.youtube.com/watch?v=NyYSzhypat0
P21-78,11-07-2021,"Centro Habana, La Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Manifestantes salen a las calles para exigir libertad. Pasan por las calles Monte e/ Indio y Ángeles y el Parque del Inmigrante Árabe.,Estado cubano,"""Patria y Vida"", ""El pueblo unido, jamás será vencido""",NULL,https://www.youtube.com/watch?v=3McVOyWruj8 https://www.youtube.com/watch?v=x0sg8S1cQBk
P21-79,11-07-2021,"Virtudes, Centro Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles para exigir libertad, por las calles Virtudes y Virtudes e Industria.",Estado cubano,"""Libertad"", ""Patria y Vida""",NULL,https://www.youtube.com/watch?v=j-jHfy7CY3A https://www.youtube.com/watch?v=uZ54GymcRN8
P21-80,11-07-2021,"Regla, La Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles para exigir libertad. Salen del PCC Municipal y avanzan por las calles Martí y Ambrón, Martí e/ Aranguren y 27 de Noviembre, Martí e/ Céspedes y Aranguren, Martí y Céspedes, Martí y Agramonte, Martí y Albuquerque.",Estado cubano,"""Libertad"", ""Patria y Vida"", ""Queremos libertad"", ""Díaz-Canel, singao"", ""Abajo el comunismo""",NULL,youtube.com/watch?v=V7q5uCLabNY https://www.youtube.com/watch?v=lnoceWKCVCg https://www.youtube.com/watch?v=w6Romq5gFLA
