id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente,resultado
,28-06-2014,"La Habana, Plaza Vieja",Performance,Performance,Performance,LGBTI,"DERECHOS LGBTI. Segunda besada pública, Proyecto Arcoíris.",Estado/sociedad,"Bajo el lema «Pon la Revolución en un Beso», el proyecto invita a todos y todas a mostrar el repudio a la homofobia. En la convocatoria al encuentro también se insta a defender la idea de una sociedad anticapitalista, revolucionaria y democrática; y a celebrar que la Ley No. 116 Código de Trabajo, aprobada recientemente por el Parlamento de la nación socialista, protege por primera vez a las personas homosexuales. No obstante, Arcoíris llama a los participantes a solicitar explicaciones al parlamento por la eliminación de la identidad de género y el estatus frente al virus de inmunodeficiencia humana en la misma Ley, aspectos consensuados en diciembre pasado por el cónclave. «En esta cita no importan el color de la piel, el género, la identidad de género, las creencias religiosas o políticas, la orientación sexual, el origen territorial, la discapacidad ni cualquier otra distinción, sino la fe en la igualdad de todas las formas de amar, formar familia, producir, comprometerse… todas las formas de HACER PATRIA», expresa el anuncio publicado en la web.",TOLERANCIA,https://www.ipscuba.net/agenda-social/segunda-besada-por-la-diversidad-y-la-igualdad/,NULL
,04-08-2014,Holguín,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios (agua). Más de 50 vecinos del batey Cruce de Dovales protestaron por la falta de agua en la localidad, con carteles antigubernamentales.",Autoridades locales,NULL,NULL,"https://www.cubanet.org/noticias/medio-centenar-de-personas-protestan-en-la-calle-en-holguin/#:~:text=MIAMI%2C%20Florida%2C%20Redacci%C3%B3n.,Comunitarios%20desde%20la%20capital%20holguinera",NULL
,09-09-2014,Viila Clara,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios (derechos del consumidor, internet). Se aglutinaron cientos de perjudicados que protestaron en la sede de la Gerencia de Cubacel, porque desde hace varios días no reciben el servicio por el cual han pagado.",Etecsa cubacel,NULL,INDIFERENCIA,https://www.cubanet.org/noticias/clientes-de-la-telefonia-movil-protestan-a-cubacel-por-servicio-que-no-reciben/,NULL
P14-07,01-11-2014,La Habana,Manifiesto/Comunicado,Manifiesto,Comunicado,Artistas cineastas,"LIBERTAD DE EXPRESIÓN. G20, comunicado contra la censura de Regreso a Ítaca en el Festival de Cine.",Ministerio de Cultura,Libertad de expresión,DIÁLOGO,https://oncubanews.com/wmag/wp-content/uploads/2015/04/Declaracion_cineastas_dic_17_2014.pdf,NULL
,17-12-2014,La Habana,Marcha/Performance,Marcha,Performance,Artistas/OMNI,"Libertad de expresión. “La peregrinación del garabato es una promesa por la salud de la poesía, entendemos como poesía el estado general del país, de la nación cubana”.",Estado cubano/sociedad,NULL,NULL,NULL,NULL
P15-08,01-01-2015,La Habana,Recogida de firmas,Recogida de firmas,Recogida de firmas,Animalistas,DERECHOS ANIMALES. PAC comenzó en enero a recoger firmas para presentar al parlamento el proyecto Ley de Protección Animal.,Estado cubano(Parlamento)/sociedad,Derechos animales,Sin respuesta inmediata. En octubre es que comienzan a analizar la creación de una nueva ley de protección animal.,https://www.ipscuba.net/sociedad/2015-sociedad-civil-cubana-en-medio-del-deshielo/,NULL
,10-02-2015,La Habana,Bloqueo,Bloqueo,Bloqueo,Ciudadanos/pueblo,"Servicios (viviendas). Las personas afectadas por el derrumbe en Centro Habana cerraron el tramo de la avenida Belascoaín, comprendido entre las calles Neptuno y Concordia; obstaculizaron el tráfico con depósitos de basura, vigas y ladrillos surtidos de las ruinas del derrumbe.",Autoridades locales,NULL,Pérez Velázquez reportó vía telefónica que muchos guardias iban de civil y esto llevó a una confusión tal que los propios manifestantes los golpearon para defenderse.,https://www.radiotelevisionmarti.com/a/cuba-derrumbes-habana-damnificados-/86386.html,NULL
,13-08-2015,Santa Clara,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios (vivienda). Una decena de mujeres, algunas con sus hijos en brazos, protestaron frente a la Asamblea Municipal del Poder Popular de Santa Clara en reclamo de que les posibiliten viviendas, dadas las malas condiciones del albergue adonde fueron enviadas meses atrás.",Autoridades locales,"""No queremos albergue, queremos apartamentos, queremos un techo digno, basta el engaño"".","El Primer Secretario del Partido Comunista de Cuba en la provincia, Julio Lima Corzo Ramírez, así como otros funcionarios del gobierno provincial y municipal, se personaron en el lugar.",https://www.cubanet.org/noticias/mujeres-protestan-frente-a-sede-del-gobierno-en-santa-clara/?print=print,NULL
,27-11-2015,La Habana,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,Servicios (derechos de servicio del consumidor). Unos mil cubanos protestan en los alrededores del consulado de Ecuador para exigir poder viajar luego del anuncio de que Ecuador comenzará a exigir visa a partir del 1ro de diciembre.,Estado cubano/Embajada de Ecuador,"""Visa""",NULL,https://www.cubanet.org/destacados/ultima-hora-protestas-en-la-habana-frente-al-consulado-de-ecuador/ https://www.bbc.com/mundo/noticias/2015/11/151127_cuba_ecuador_protesta_visa_embajada_az,NULL
P15-09,01-12-2015,Cienfuegos,Carta abierta/Petición,Carta abierta,Petición,LGBTI,"DERECHOS LGBTI. Colectivo LGBTI de Cienfuegos hace llegar al CENESEX una carta con petición de legalizar uniones del mismo sexo, 60 firmas junto con carta abierta al parlamento.",Estado cubano (Parlamento)/Autoridades locales (CENESEX),Derechos LGBTI,"La carta abierta de las organizaciones cienfuegueras, vinculadas al CENESEX, no habría recibido respuesta, al menos públicamente.",https://diariodecuba.com/cuba/1452616985_19423.html,NULL
,28-01-2016,La Habana,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios (alimentos). Residentes en Santo Suárez protestaron cuando la policía se disponía a decomisar los productos de los vendedores por cuenta propia conocidos como ""carretilleros"".",Estado cubano,"""¡Comida, comida!""","El dirigente partidista exhortó a las protestantes a que volvieran al albergue, prometiendo que las brigadas de Servicios Comunales recogerían la basura y limpiarían las áreas verdes. Añadió que trabajadores de la Empresa Eléctrica solucionarían el problema de la corriente y Salud Pública estaría presente todo el día en la comunidad.",https://www.radiotelevisionmarti.com/a/cuba-portesta-carretilleros-vendedores-bicitaxista-protestan-arremetida/114119.html,NULL
,12-05-2016,La Habana,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Derechos TPCP (multas y regulaciones). Los trabajadores por cuenta propia habían acudido a la Plaza para denunciar supuestas violaciones cometidas en su contra, entre ellas penalizaciones de 700 y hasta 1 500 pesos. El grupo de transportistas, pertenecientes a un sector numeroso de trabajadores privados en La Habana, se dirigieron en caravana hasta la oficina de Atención a la Población del Consejo de Estado. Allí acusaron de corrupción a funcionarios del Gobierno y a autoridades del municipio La Habana Vieja.",Autoridades locales,NULL,Los funcionarios del Consejo de Estado actuaron muy decentemente” y que “no hubo alteración. No se llevaron a nadie detenido”.,https://www.cubanet.org/noticias/retiran-multas-a-bicitaxistas-que-protestaron-en-la-plaza-de-la-revolucion/,NULL
P16-10,28-06-2016,La Habana,Performance,Performance,Performance,LGBTI,"DERECHOS LGBTI. Besada pública convocada por Arcoíris en solidaridad con las familias y víctimas de la masacre ocurrida el pasado 12 de junio en el club gay Pulse, en Orlando, Florida. El malecón habanero se llenó de alrededor de 50 personas que protagonizaron la cuarta edición de la Besada por la Diversidad, un acto para besarse en la boca o el rostro, lo mismo entre personas del mismo sexo o diferente.",Sociedad,Derechos LGBTI,TOLERANCIA,http://www.ipscuba.net/genero/besos-publicos-y-rezos-en-cuba-por-las-victimas-de-pulse/  https://www.facebook.com/rriveraservera/videos/10157417455475221?locale=es_LA,NULL
,01-02-2017 / 03-02-2017,Santa Clara,Huelga,Huelga,Huelga,TPCP (choferes de motonetas),"Decenas de choferes de motonetas, el principal medio de transporte privado en la ciudad de Santa Clara, paralizaron este lunes sus servicios luego de que el gobierno local anunciara una nueva normativa que obliga a los transportistas a reducir el número de pasajeros que montan en sus vehículos. En señal de protesta, los transportistas decidieron no prestar servicio este lunes y estacionaron sus motonetas en la piquera de la calle Buen Viaje.",Autoridades locales (Poder Popular Provincial),Derechos TPC,"DIÁLOGO. De inmediato se presentaron en el lugar Alberto López Díaz, presidente de la Asamblea Provincial, y el teniente coronel Francisco Darias, delegado del Ministerio del Interior provincial, así como otros funcionarios gubernamentales y partidistas del municipio. “Luego de varias llamadas telefónicas, el presidente de la Asamblea Provincial les dijo a los motoneros que se reuniría con ellos a las 4:00 p.m. en la sede gubernamental de ese organismo, y de inmediato aparecieron las guaguas que comenzaron a transportar a la gente”.",NULL,NULL
,08-02-2017,Santa Clara,Huelga,Huelga,Huelga,TPCP (cocheros),"Medidas a los cocheros con las que no estuvieron de acuerdo; ante la aglomeración y debate público que se generó por no existir carretoneros para transportar a los pasajeros, se presentaron varios efectivos del Ministerio del Interior (MININT). Entre ellos se personaron los integrantes de la Brigada Especial del MININT (Antimotines), la Seguridad del Estado y la Policía Nacional Revolucionaria.",Autoridades locales (Poder Popular Provincial),Derechos TPC,"REPRESIÓN. Se presentaron varios efectivos del Ministerio del Interior (MININT). Entre ellos se personaron los integrantes de la Brigada Especial del MININT (antimotines), la Seguridad del Estado y la Policía Nacional Revolucionaria. Varios carretoneros fueron empujados por los oficiales antimotines y algunos resultaron arrestados, pero la multitud empezó a protestar por el uso excesivo de la fuerza física contra ciudadanos legalmente definidos como trabajadores cuentapropistas, y los uniformados se retiraron.",https://www.radiotelevisionmarti.com/a/cuba-protestas-transportistas-santa-clara-/140120.html,NULL
,23-02-2017,La Habana,Bloqueo,Bloqueo,Bloqueo,Ciudadanos/pueblo,"Servicio (vivienda). Un grupo de vecinos bloqueó con muebles la calle frente a sus viviendas, en señal de protesta por las condiciones en que viven.",Autoridades locales,Servicios vivienda,Las autoridades no han dado ninguna respuesta a esta situación.,https://www.cubanet.org/noticias/la-habana-bloquean-la-calle-con-muebles-en-senal-de-protesta/,NULL
P17-11,04-2017 / 05-2017,"Parque del Quijote, Vedado, La Habana",Manifestación/Concentración/Recogida de firmas/Petición,Manifestación,"Concentración, Recogida de firmas, Petición",Animalistas,"DERECHOS ANIMALES. Con el mensaje “Tu firma para que el Maltrato sea Delito”, el grupo Cubanos en Defensa de los Animales (CEDA) anunció su propuesta desde las redes sociales y en solo seis días de convocatoria, en un país casi desconectado, se logró recoger aproximadamente 2 mil firmas. Las personas que llegaron hasta el parque habanero El Quijote sumaron sus nombres a las 50 hojas enviadas el 7 de mayo al máximo mandatario de la Isla.",Estado cubano/Legislativo,Derechos animales,"TOLERANCIA, INDIFERENCIA",https://eltoque.com/por-que-es-necesaria-una-ley-de-proteccion-animal-en-cuba-2 http://www.ipscuba.net/genero/besos-publicos-y-rezos-en-cuba-por-las-victimas-de-pulse/,NULL
,10-07-2017,La Habana,Litigio,Litigio,Litigio,Afrodescendientes,"DISCRIMINACIÓN RACIAL. La estudiante de Derecho de la Universidad de La Habana, Yanay Aguirre Calderín, denunció la «forma descompuesta» y «muy violenta» del chofer del «almendrón» en una carta publicada hace una semana en la sección «Buzón Abierto» de OnCuba.",Estado cubano/Legislativo,Discriminación racial,"La publicación que da seguimiento al suceso indicó que las autoridades policiales de La Habana procedieron de inmediato a localizar al propietario del vehículo y detalla que el conductor, quien admitió su participación en los hechos, fue identificado por la denunciante en una estación policial.",https://oncubanews.com/cuba/sociedad-cuba/sociedad-sociedad-cuba/detenido-taxista-cubano-acusado-de-discriminacion-racial/,NULL
,13-09-2017,"Calzada de 10 de octubre, La Habana",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios (electricidad). Alrededor de unas quinientas personas salieron a protestar a la calzada de 10 de Octubre para exigir el restablecimiento del servicio eléctrico, el agua, la recogida de basura y escombros acumulados durante días tras el paso del huracán Irma.",Estado cubano,NULL,"Llegaron cinco camiones de la Brigada Especial y los carros de policía cerraron desde aquí (Toyo) hasta Santa Catalina. Cuando los demandantes comunicaron sus exigencias a las autoridades, en pocos minutos llegaron camiones de Servicios Comunales y sanearon la zona. Dos horas después de los sucesos, se fue restableciendo el servicio en el resto del municipio Cerro, en los barrios que rodean a la avenida Monte.",https://www.cubanet.org/destacados/se-desata-protesta-masiva-en-la-habana/,NULL
,17-09-2017,"Carlos Rojas, Matanzas",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios (electricidad). Decenas de personas se reunieron sin previa planificación el pasado viernes para exigir a las autoridades el restablecimiento de los servicios de luz, agua y alimentos.",Autoridades locales,NULL,"Horas después de la protesta, las autoridades municipales se presentaron en el poblado acompañadas de varias patrullas de la policía y agentes de las fuerzas especiales.",https://www.cibercuba.com/videos/noticias/2017-09-17-u73624-e73624-cuba-otra-protesta-tras-huracan-irma-esta-vez-carlos-rojas,NULL
,26-09-2017,"Morón, Ciego de Ávila",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios (vivienda). Alrededor de un centenar de damnificados por el huracán Irma protestaron ante un funcionario del Poder Popular en Morón, negándose a ser trasladados a unos 30 kilómetros del actual albergue que ocupan y adonde fueron llevados tras perder sus viviendas.",Autoridades locales,"""No nos vamos""",El funcionario se personó en el lugar vestido de verde olivo y acompañado de al menos un policía.,https://www.cubanet.org/noticias/damnificados-por-irma-protestan-en-moron-ante-el-abandono-oficial/,NULL
,12-10-2017,La Habana,Performance,Performance,Performance,Ambientalistas,"POR EL MEDIO AMBIENTE. Bajo el nombre de Conexión humana para la revitalización forestal, unas 60 personas ayudaron a contrarrestar el avance de la deforestación capitalina y también celebraron, el 10 de octubre último, el inicio de la Jornada de la Cultura Cubana y el Día del Árbol.",Sociedad,"Derechos medioambientales. Trascendió la preocupación de varias personas por la amenaza de los huracanes a la vida de los árboles y acciones inadecuadas que realizan brigadas estatales como las de la Empresa Eléctrica, el Servicio Estatal Forestal, Comunales o la Empresa de Telecomunicaciones de Cuba, antes y después de esos eventos climáticos.",COLABORACIÓN,http://www.ipscuba.net/medio-ambiente/Performance-ecologico-critica-la-deforestacion-de-la-habana/,NULL
,25-10-2017,"San Miguel del Padrón, La Habana",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Derechos Políticos. Contra la violencia policial de los presos políticos. Opositores, vendedores ilegales y vecinos de la barriada “La Cuevita” protagonizaron una protesta contra efectivos de la Policía Nacional ante la indignación producida por el abuso llevado a cabo contra un joven cliente.",Estado cubano,"""Libertad"", ""El pueblo de Cuba no tiene derechos""","Los hechos ocurrieron cuando el jefe de sector identificado como Mario, quien además se encontraba vestido de civil, golpeó de manera inescrupulosa y arrestó a un joven que hacía compras en el mercado negro. El oficial, que además no se identificó, sacó su pistola cuando el joven intentó defenderse. También vinieron varios efectivos de la Seguridad del Estado y se llevaron detenido al joven.",https://www.cubanet.org/destacados/multitudinaria-protesta-en-barrio-habanero/,NULL
,23-11-2017,La Habana,Bloqueo,Bloqueo,Bloqueo,Ciudadanos/pueblo,"Servicios (vivienda). Varias mujeres y niños se plantaron con sus pertenencias la noche de este miércoles frente a sus residencias, en la avenida de la Calzada del Cerro. La intención era exigir a las autoridades que les solucionaran el problema de vivienda que enfrentan.",Autoridades locales,NULL,"Apareció la policía y rodeó a las protestantes con los autos policiales. Se presentaron en el lugar el presidente del Gobierno Municipal, la directora municipal de la Vivienda y altos oficiales del Ministerio del Interior. Intentaron convencer a los manifestantes de que abandonaran la protesta y regresaran a sus casas, bajo la promesa de que sus casos serían analizados. Ante la negativa, la policía entonces intentó utilizar la fuerza para sacarlas de la avenida, pero el pueblo, que se encontraba en el lugar, no lo permitió. Llegaron dos camiones de Tropas Especiales y otros cuatro autos de patrullas, retirando a los presentes a fuerza de empujones.",https://www.cubanet.org/noticias/nueva-protesta-en-centrica-avenida-habanera/?print=print,NULL
,10-12-2017,La Habana,Performance,Performance,,Feministas,"CONTRA LA VIOLENCIA DE GÉNERO. Caminata a ritmo de bachata, salsa y samba por Centro Habana, proyecto Tod@s Contracorriente.",Sociedad,Contra la violencia de género,COLABORACIÓN,https://rebelion.org/marcha-por-la-no-violencia-de-genero-cruzo-calles-de-centro-habana/,NULL
,28-01-2018,"Bayamo, Granma",Manifestación/Concentración,Manifestación,Concentración,Aficionados al béisbol,"DERECHOS ECONÓMICOS, CONSUMIDOR. Un grupo de aficionados al béisbol de la ciudad de Bayamo salió el pasado domingo 28 de enero a protestar a las calles, luego de que el gobierno local incumpliera su promesa de garantizar 30 ómnibus para que los bayameses viajaran a Las Tunas a ver la final de la serie.",Autoridades locales,"“El pueblo no se queda”, gritaban a viva voz los bayameses frente a las oficinas del Gobierno, con pancartas, sonidos metálicos y todo lo que pudiera llamar la atención de las autoridades para cumplir su deseo de ir a presenciar el tan esperado enfrentamiento Granma-Las Tunas. Los protestantes lograron sus resultados y poco tiempo después, el gobierno local tuvo que facilitar las guaguas que faltaban.","DIÁLOGO, CONCESIÓN DE LA DEMANDA",https://www.cibercuba.com/videos/noticias/2018-01-31-u1-e196568-s27061-protesta-calles-bayamo-incumplimiento-gobierno,NULL
P17-14,15-04-2018,La Habana,Marcha,Marcha,Marcha,Animalistas,"DERECHOS ANIMALES. Decenas de activistas peregrinaron por calles de La Habana, acompañados de sus mascotas, con carteles y camisetas que mostraban mensajes como “Peleas de perros y gallos = delito”, “Protección para nuestros animales” y “Maltrato animal es delito”, entre otros.",Estado cubano/sociedad,Derechos animales,TOLERANCIA,https://www.ipscuba.net/sociedad/2018-cuando-la-ciudadania-cubana-se-hizo-sentir/,NULL
,07-05-2018,La Habana,Manifiesto/Comunicado,Manifiesto,Comunicado,Artistas/intelectuales,"Libertad de expresión. Declaración de los Jóvenes Cineastas Cubanos «Palabras del Cardumen», que ha sido enviada a cientos de cineastas y amantes del cine cubano. Precisan desde La Habana que esto es un texto colectivo conciliado por más de 40 cineastas, algunos vinculados a la Muestra Joven ICAIC, que hasta el momento ha sido suscrito por más de 130 firmantes, incluyendo creadores, críticos, guionistas, documentalistas y directores de cine cubanos retirados o en activo. Vetar o regular la visibilidad de proyectos u obras. Tales prácticas, sumadas a la difamación en medios de prensa oficiales de críticos y realizadores, generan un clima inapropiado para la libre creación y circulación de las ideas. Nos preocupa que esta censura se ejerza impunemente.",Estado cubano,NULL,"Urge que el Estado dé respuesta a demandas del gremio que son impostergables: el Registro del Creador Audiovisual, el Fondo de Fomento, la Comisión Fílmica, la legalización de las productoras independientes y, por último, la promulgación de una Ley de Cine ante la obsolescencia de la Ley 169 de Creación del ICAIC. Nos preocupa el tenso ecosistema nacional en que se desarrolla actualmente la creación y, de manera particular, el audiovisual. La arbitrariedad con que se aplica la política editorial en instituciones como el ICAIC, el ICRT y, en fecha reciente, la FAMCA, así como sus correspondientes episodios de censura, minan más aún la confianza en nuestras instituciones. Resulta alarmante, por demás, la inconsistencia intelectual de los argumentos que funcionarios y asesores suelen esgrimir para",https://elcineescortar.com/2018/05/07/palabras-cardumen-declaracion-jovenes-cineastas-cubanos/,NULL
,05-05-2018 / 15-05-2018,La Habana,Performance,Performance,Performance,Artistas/intelectuales,"LIBERTAD DE EXPRESIÓN. #00Bienal de La Habana, una nueva instancia artística, alternativa, independiente y reaccionaria a cualquier entidad estatal. Esta bienal busca reestructurar el modelo de acción de la Bienal de La Habana (oficial) con base en lo colectivo, la colaboración y la proyección internacional, con el fin de apuntalar el arte como una fuerza revitalizadora para la sociedad cubana. Su propósito, enfatizan, es “desatar” el arte cubano de lo que perciben como la «burbuja oficial del mundo del arte», y reconectar la cultura con las realidades sociales cubanas. Es un evento inclusivo, democrático, planificado desde la colaboración entre los artistas y buscando establecer conexiones con el pueblo cubano. Este proyecto fue iniciado por el artista Luis Manuel Otero Alcántara y la curadora Yanelys Núñez Leyva.",Estado cubano (Ministerio de Cultura),NULL,"Después de ser anunciada la Bienal #00, la Unión de Escritores y Artistas de Cuba (UNEAC) y la Asociación Hermanos Saíz hicieron una declaración donde se lee: “Rechazamos cualquier intento de entorpecer o manipular la gestión institucional y los proyectos de artistas de Cuba y otros países que están en marcha de cara a la XIII Bienal de La Habana. Denunciamos la autotitulada Bienal #00, que se enmascara detrás de una fraseología demagógica y cínica, y se organiza con fondos de la contrarrevolución mercenaria, cuyo único propósito es descaracterizar al sistema institucional, confundir a los artistas y crear un clima propicio para promover los intereses de los enemigos de la nación y de la obra revolucionaria que ha gestado e impulsado la Bienal de La Habana y muchos otros eventos de gran arraigo popular”. “Se han sumado a este engendro muy pocas personas, en su mayoría sin obra alguna de relevancia, que con intención malsana o por confusión buscan la notoriedad que puede ofrecerles la plataforma mercenaria y su sobreexposición en las redes sociales. Se anuncia su realización en espacios sin ninguna importancia más allá del intento fallido de atacar la política cultural, no pocos de ellos con actividades al margen de la ley. Se pretende desorientar a los artistas para que utilicen sus estudios, que cuentan con todo el apoyo de la institución, en función de una maniobra provocadora (…) Ningún comentario malintencionado, ninguna tergiversación de la política cultural cubana, ninguna patraña elaborada por personas inescrupulosas hará perder la fe de los artistas en un proceso social que ha defendido el arte y la cultura como una de las más nobles proezas (…) No permitiremos que se empañe el nombre y el significado de la Bienal de La Habana, para la que nos preparamos, convencidos de que será la auténtica fiesta popular de la creación visual contemporánea”.",https://artishockrevista.com/2018/05/05/00bienal-de-la-habana-alternativa-independiente-reaccionaria/ https://arbolinvertido.com/cultura/la-bienal-00-que-viene-declaraciones-de-yanelis-nunez,NULL
,23-08-2018,La Habana,Carta abierta,Carta abierta,Carta abierta,Artistas/intelectuales,"LIBERTAD DE EXPRESIÓN. Artistas cubanos del movimiento #NoalDecreto349 hicieron el jueves entrega en diferentes instancias de poder del país de una carta de protesta contra esa disposición de control de las manifestaciones artísticas. El documento denuncia que el Decreto 349/2018 establece legalmente un sistema de censura previa para las actividades culturales, las artes y otras formas de expresión, violentando la libertad para la actividad creadora y el derecho al pleno desarrollo de la personalidad humana. También violenta la libertad de pensamiento, creencia y religión; la libertad de opinión, asociación y reunión pacífica. Ningún individuo sometido a la jurisdicción del Estado cubano podrá disfrutar libremente de las producciones y espectáculos artísticos o desarrollar y exponer en público sus habilidades, talentos y actitudes artísticas, sin autorización del Estado"". El documento fue entregado en: la Fiscalía General, la Asamblea Nacional del Poder Popular, el Consejo de Estado y en el Ministerio de Cultura.","Estado cubano (Instituciones culturales, Fiscalía General de la República, Parlamento)",#NO AL DECRETO 349,"El ministro de Cultura, Alpidio Alonso, dice que la norma ""no empezará a operar de inmediato en determinadas áreas, sino de manera progresiva"". La ley en principio permitiría a los ""inspectores supervisores"" revisar cualquier evento cultural, desde exposiciones de pintura a conciertos, e inmediatamente decretar el cierre de un espectáculo e, incluso, confiscar una licencia comercial de un restaurante o un bar que albergue un evento objetable. Ha afirmado también que los inspectores solo responderán a las quejas sobre asuntos culturales y referirán los casos problemáticos a funcionarios de mayor rango del Ministerio de Cultura. Tampoco podrán inspeccionar ningún estudio u hogar que no esté abierto al público.",https://www.ipscuba.net/sociedad/2018-cuando-la-ciudadania-cubana-se-hizo-sentir/  https://www.radiotelevisionmarti.com/a/activistas-contra-el-decreto-349-llevan-su-protesta-a-instancias-del-gobierno/207378.html ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1032964586662764544%7Ctwgr%5E6dab11d154ae9c36006138b35ce87350257ba1b0%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.radiotelevisionmarti.com%2Fa%2Factivistas-contra-el-decreto-349-llevan-su-protesta-a-instancias-del-gobierno%2F207378.html https://www.dw.com/es/noaldecreto349-contra-la-criminalizaci%C3%B3n-del-arte-en-cuba/a-45258869 https://www.dw.com/es/noaldecreto349-contra-la-criminalizaci%C3%B3n-del-arte-en-cuba/a-45258869 https://www.cibercuba.com/videos/noticias/2018-12-06-u1-e129488-s27061-gobierno-cuba-intenta-suavizar-impacto-decreto-349?fbclid=IwAR0iai8aTHHBJCLSGRbP0ZsKhySQIS-KlfDLbL8gp__PV2ijFDbtIMY3Uec,NULL
P18-16,13-09-2018,La Habana,Carta abierta,Carta abierta,Carta abierta,Ambientalistas,"Ambientalistas pertenecientes a la organización autónoma Guardabosques se presentaron ante los ministerios de Relaciones Exteriores y el de Ciencia, Tecnología y Medio Ambiente, para exigir al gobierno cubano que firme el Acuerdo de Escazú. Los documentos a firmar por ambos ministerios exhortan a que se adopte “una postura proactiva, a fin de lograr la firma por parte del gobierno cubano”.",Estado cubano (Ministerio de Relaciones Exteriores),"Derechos ambientales. “Los ecosistemas cubanos, la población que forma parte de ellos, así como las instituciones, grupos, organizaciones y personas que trabajamos en su protección, seremos beneficiarios directos de la implementación de este Acuerdo”, afirman las cartas.",NULL,https://www.cibercuba.com/noticias/2018-09-16-u1-e186450-s27061-ambientalistas-piden-al-gobierno-cubano-firme-acuerdo-escazu y   https://guardabosquescuba.org/2018/09/15/ambientalistas-instan-al-gobierno-cubano-que-firme-el-acuerdo-de-escazu/,NULL
P18-17,10-2018 / 11-2018,La Habana,Performance,Performance,Performance,LGBTI,DERECHOS LGBT.I BESADAS PÚBLICAS EN PRADO Y MALECÓN y en iglesias contra la campaña evangélica contra el matrimonio igualitario.,"Estado cubano (Parlamento)/sociedad, contra la campaña de las iglesias",Derechos LGBTI,Algunas debieron ser suspendidas por no contar con autorización.,https://www.facebook.com/photo/?fbid=1953950438024511&set=g.123004041563340  y  https://www.facebook.com/photo/?fbid=1953950414691180&set=g.123004041563340,NULL
P18-18,10-2018 / 11-2018,La Habana,Manifestación/Campaña (varios),Manifestación,Campaña,Evangélicos,"Campaña contra art. 68, creyentes salieron a varios espacios públicos a difundir mensaje contra ideología de género. En feb. 2019 hicieron acto en el Malecón donde 200 parejas reafirmaron sus vínculos matrimoniales y se pronunciaron contra el matrimonio igualitario.",Estado cubano (Parlamento),Contra derechos LGBTI,TOLERANCIA,https://www.facebook.com/photo/?fbid=1830813450338211&set=g.123004041563340  y  https://www.facebook.com/metodistademarianao/photos/a.1567504973564901/2182373215411404/?type=3,NULL
P18-19,01-12-2018,San Cristobal Artemisa,Huelga,Huelga,Huelga,TPCP (cocheros),"DERECHOS ECONÓMICOS CONTRA RESTRICCIONES. Los conductores de coches de caballo de San Cristóbal, Artemisa, se han declarado en huelga en señal de protesta contra nuevas restricciones dictadas por el Consejo de Administración Municipal (CAM). Los cocheros han decidido echar un pulso contra las autoridades para que deroguen las medidas que les impiden entrar al poblado y los obligan a solo transitar por las vías exteriores.",Autoridades locales,"No podemos decir públicamente que estamos en huelga, porque en Cuba no es permitido, pero vamos a permanecer sin trabajar hasta que se llegue a un acuerdo. ""No les bastó con alejarnos cinco cuadras de las vías principales, ahora no nos permiten entrar al pueblo para nada"", lamenta. ""El objetivo es que la gente vea los coches circulando y se entere de lo que está sucediendo"", explica a este diario Maikel, un joven cochero que se ha sumado a la huelga. ""Tenemos que recoger evidencia de la cantidad de personas a las que beneficia nuestro servicio, con un poco de suerte habrá más quejas de la población a favor de nosotros y las autoridades tendrán que echar atrás la medida"".","IGNORAR. El Gobierno local ha respondido hasta ahora colocando un nuevo ómnibus que cubrirá la ruta desde el parque principal de San Cristóbal hasta el hospital, dos veces al día. Una manera de aliviar la tensión que se ha creado en los pasajeros al no poder trasladarse en los coches de caballo que tradicionalmente hacen ese tramo.",https://www.14ymedio.com/cuba/cocheros-inician-Artemisa-medidas-Gobierno_0_2556944285.html,NULL
