id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente,resultado
,17-12-2010,La Habana,Performance,Performance,Performance,Artistas/intelectuales/OMNI,"LIBERTAD DE EXPRESIÓN, POR LA PAZ DE LA SOCIEDAD.",NULL,"Libertad de expresión. “La peregrinación del garabato es una promesa por la salud de la poesía, entendemos como poesía el estado general del país, de la nación cubana”",NULL,NULL,NULL
,06-01-2011,"Punta Brava, La Lisa, La Habana",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios (agua). Los vecinos de Punta Brava, tras llevar 17 días sin agua, salieron a las calles a protestar. La protesta consistió en la colocación en las aceras de cubos vacíos, a lo largo de la avenida, y allí los mantuvieron durante una hora, hasta que la policía obligó a los vecinos a guardarlos.",Autoridades locales,NULL,La policía reprimió la protesta.,https://www.cubanet.org/noticias/protestan-con-cubos-vacios/?print=print,NULL
,13-01-2011,"Punta Brava, La Lisa, La Habana",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,Servicios (agua). Una docena de mujeres se manifestó en las calles del poblado de Punta Brava para exigir que llegue el agua potable a las viviendas de la comunidad.,Autoridades locales,“Queremos agua. ¿Hasta cuándo será esto?”,"Los agentes de Seguridad del Estado se apostaron en los alrededores de la vivienda de Silvio Benítez Márquez (opositor del régimen), mientras se producía la protesta, con el objetivo de que el opositor no saliera a las calles en apoyo a la manifestación.",https://www.cubanet.org/noticias/protesta-en-punta-brava/,NULL
,20-06-2011,"Santa Clara, Villa Clara",Huelga/Paro de labores,Huelga,Paro de labores,Campesinos/cooperativistas,"Derechos TPCP (condiciones de trabajo). Trabajadores agrícolas protestaron ante la administración por las pésimas condiciones de trabajo de la cooperativa Batalla de Santa Clara. Los agricultores declararon un paro laboral de 24 horas para demandar una respuesta rápida de los directivos de la unidad, los cuales cambiaron de lugar la vaquería sin tener en cuenta la escasez de agua y la inadecuada infraestructura del nuevo sitio. Los obreros agrícolas manifestaron que las condiciones para el ordeño de las vacas son pésimas, ya que allí no hay naves techadas y, con el inicio de las lluvias, los vaqueros tienen que lidiar con los aguaceros, causantes también del deterioro de las vías de acceso a la vaquería.",Autoridades locales,NULL,NULL,https://www.cubanet.org/noticias/protestan-trabajadores-agricolas/,NULL
,18-07-2011,Guantánamo,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios (electricidad). Al menos 80 campesinos cubanos del poblado El Mije protestaron frente a la sede del Poder Popular Municipal de San Antonio del Sur, para que se les reinstalara el servicio eléctrico.",Autoridades locales,NULL,"Los manifestantes fueron atendidos por el presidente, Warter Gamboa. Al no recibir respuestas claras y convincentes, la presencia de los campesinos frente a la sede de gobierno se convirtió en una abierta manifestación pública de inconformidad.",http://cubanoticiasdisidentes.blogspot.com/2011/07/protestan-campesinos-cubanos-por-falta.html,NULL
,12-10-2011,La Habana,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Derechos LGBTI (personas trans). Varias decenas de personas, entre las que había travestis, lesbianas y heterosexuales, protagonizaron una manifestación de rechazo a la detención de la persona transgénero ""Belinda"" frente a la estación de policía de Dragones.",Autoridades locales,NULL,"El oficial a cargo ordenó que soltaran a Belinda, no sin antes “sugerirle” que no hiciera ninguna acusación al policía, y así evitaría ser deportada a su provincia.",https://www.cubanet.org/noticias/ciudadanos-protestan-en-la-habana-contra-detencion-de-travesti/,NULL
,17-12-2011,La Habana,Marcha/Performance,Marcha,Performance,Artistas/OMNI,"Libertad de expresión. “La peregrinación del garabato es una promesa por la salud de la poesía; entendemos como poesía el estado general del país, de la nación cubana”.",Estado cubano/sociedad,NULL,NULL,NULL,NULL
,8-02-2012,San Miguel del PadrónLa Habana,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,Derechos TPCP (impuestos). Grupo de vendedores protestaron en la calle por el hostigamiento de inspectores estatales y policías contra los vendedores por cuenta propia. “Todo comenzó porque los inspectores querían aplicarle una multa a una trabajadora que el día anterior ya habían multado”.,NULL,“Está bueno ya de atropellos”,"Inspectores estatales, acompañados por policías, han estado asediando a los vendedores por cuenta propia del reparto, aplicándoles multas de hasta 400 pesos en moneda nacional e inclusive arrestando a compradores.",https://www.cubanet.org/noticias/breves-destacados/protesta-publica-en-reparto-nunez/,NULL
P12-03,06-2012,La Habana,Performance,Performance,Performance,LGBTI,"DERECHOS LGBTI. Primera besada pública por el Día del Orgullo Gay, Proyecto Arcoíris.",Estado cubano/sociedad,Derechos LGBTI,IGNORAR (TOLERANCIA),https://es.globalvoices.org/2013/12/03/arcoiris-un-proyecto-cubano-que-lucha-contra-la-discriminacion-de-la-comunidad-lgbt/,NULL
,07-10-2012,"Varadero, Matanzas",Huelga,Huelga,Huelga,TPCP (cocheros),"CONTRA IMPUESTOS. DERECHOS ECONÓMICOS. 110 cocheros, con sus ayudantes, realizan un paro laboral en protesta por los altos impuestos que establece el Comité Estatal de Finanzas. Consideran excesivo tener que entregar unos 12 dólares diarios al Estado y exigen que el sindicato, que ellos pagan para que los defienda, negocie con las autoridades un acuerdo beneficioso para todas las partes.",Estado cubano,"""No vamos a trabajar hasta que nos bajen los impuestos. Queremos que esto sea conocimiento de las autoridades nacionales; pero además de la prensa independiente y extranjera"", González señaló: ""Recordemos a los gobernantes que esto no es un problema de política ni de contrarrevolución; lo que queremos es que ese sindicato que pagamos para que nos defienda responda ahora por nosotros y se llegue a un acuerdo sin que hayan partes afectadas"".","DIÁLOGO, PROMESAS",https://www.cubaencuentro.com/txt/cuba/noticias/cocheros-cubanos-realizan-paro-laboral-en-varadero-en-protesta-por-los-altos-impuestos-280643 http://vozdesdeeldestierro-juancarlosherreraacosta.over-blog.es/article-cuba-mas-de-un-centenar-de-cocheros-realizan-paro-laboral-en-varadero-110991144.html,No se satisfizo la demanda
