id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente
P22-145,12-10-2022,"Santa Marta, Matanzas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,NULL,NULL,https://twitter.com/ExorcistaAntic1/status/1580375382507032578?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1580375382507032578%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-146,12-10-2022,"La Salud, Quivicán, Mayabeque",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,NULL,NULL,https://twitter.com/cubanousa2/status/1580375264567009281?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1580375264567009281%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-147,12-10-2022,"La Margarita, San Nicolás, Mayabeque",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,NULL,NULL,https://twitter.com/GitanaenCuba/status/1580377343583215616?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1580377343583215616%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-148,12-10-2022,"Reparto Naranjal, Matanzas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,"Inventario reporta un Cacerolazo, pero no hay información al respecto.",Estado cubano,NULL,NULL,https://maphub.net/proyectoinventario/protestas-verano-2022-en-cuba
P22-149,12-10-2022,"Los Arabos, Matanzas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,"Inventario reporta un Cacerolazo, pero no hay información al respecto.",Estado cubano,NULL,NULL,https://maphub.net/proyectoinventario/protestas-verano-2022-en-cuba
P22-150,12-10-2022,"Reparto Los Mangos, Matanzas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,"Inventario reporta un Cacerolazo, pero no hay información al respecto.",Estado cubano,NULL,NULL,https://maphub.net/proyectoinventario/protestas-verano-2022-en-cuba
P22-151,12-10-2022,"Playa Larga, Ciénaga de Zapata, Matanzas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,NULL,NULL,https://twitter.com/ORCOMA01/status/1580389229263491072?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1580389229263491072%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-152,12-10-2022,"Velazco, Holguín",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,"""Libertad""",NULL,https://youtu.be/tSN9frbbocg
P22-153,12-10-2022,"Colón, Matanzas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,NULL,NULL,https://twitter.com/JaviXCubaLibre/status/1580402887800557570?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1580402887800557570%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-154,12-10-2022,"Calle Tenería, Cárdenas, Matanzas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,NULL,NULL,https://twitter.com/Jessi_Cuban/status/1580391508448276482?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1580391508448276482%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-155,12-10-2022,"Reparto San Bernardo, Jagüey, Matanzas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,NULL,NULL,https://twitter.com/SirWSmith1984/status/1580380494797373441?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1580380494797373441%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-156,12-10-2022,"Facultad de Medicina, Santiago de Cuba",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,NULL,NULL,https://youtu.be/RnAmr28f4s0
P22-157,12-10-2022,"La Zanja, Nueva Paz, Mayabeque",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,"Inventario reporta un Cacerolazo, pero no hay información al respecto.",Estado cubano,NULL,NULL,https://maphub.net/proyectoinventario/protestas-verano-2022-en-cuba
P22-158,12-10-2022,"San Rafael, Holguín",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Salieron a la carretera de esa localidad a protestar por los extensos cortes del fluido eléctrico. La protesta duró alrededor de una hora y media.,Estado cubano,NULL,"Al poco tiempo de iniciada la protesta se presentaron en el lugar personas en motos, presumiblemente oficiales de la Seguridad del Estado, que amenazaron a los manifestantes con represalias en el momento y al día siguiente. Luego se sumó un camión de personas vestidas de civil, con palos, también con actitudes amenazantes hacia los manifestantes. Poco tiempo después llegaron autoridades partidistas a intentar calmar a los vecinos.",https://maphub.net/proyectoinventario/protestas-verano-2022-en-cuba
P22-159,12-10-2022,"La Federal, Aguada de Pasajero, Cienfuegos",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,"Tras 8 horas de apagón, decenas de vecinos salieron a la calle pidiendo que se restableciera el servicio eléctrico.",Estado cubano,"“Pongan la corriente, pinga”, “Libertad”.","Se presentaron en el lugar el coronel de la Seguridad del Estado Vladimir Castillo, acompañado de policías y autoridades del gobierno en el territorio, quienes trataron de dar explicaciones a los manifestantes. El servicio eléctrico fue restablecido alrededor de una hora después de iniciada la protesta. Al día siguiente fueron citados verbalmente a la estación de la policía los vecinos Yosvany Socarrás González y una mujer de nombre Olimpia, a quienes acusaron de ser los promotores de la manifestación. No resultaron detenidos. También ese día (13 de octubre) le fue colocado un operativo de vigilancia a Juan Alberto de la Nuez en su vivienda.",https://youtu.be/E1COiCtwIUw
P22-160,12-10-2022,"La Micro, Florida, Mayabeque",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,"Inventario reporta un Cacerolazo, pero no hay información al respecto.",Estado cubano,NULL,NULL,https://maphub.net/proyectoinventario/protestas-verano-2022-en-cuba
P22-161,12-10-2022,"El Sapo, Bejucal, Mayabeque",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,"“Pongan la corriente, pinga”.",NULL,https://youtu.be/7oKEH_GM90w
P22-162,13-10-2022,"La Palma, Arroyo Naranjo, La Habana",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,NULL,NULL,https://twitter.com/Danaisy_Oficial/status/1580733182055714816?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1580733182055714816%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-163,13-10-2022,"Reparto Fines, Cárdenas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,"""Pongan la corriente, pinga"".",El servicio eléctrico fue restablecido durante la protesta.,https://www.youtube.com/watch?v=gOv17Zac55U
P22-164,14-10-2022,"Reparto Vigía, Santa Clara",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,NULL,NULL,https://twitter.com/AsereYaPing/status/1581119896708321282?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1581119896708321282%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-165,14-10-2022,"Baitiquirí, San Antonio del Sur, Guantánamo",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Pobladores caminan por la carretera tocando cazuelas y gritando como protesta por la falta de electricidad.,Estado cubano,“Abajo el hambre”.,NULL,https://youtu.be/apvb3w7di7o
P22-166,15-10-2022,"Calle René Ramos, Las Tunas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,"""Pongan la corriente, pinga"".",NULL,https://twitter.com/wilhems5/status/1581477253803712512?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1581477253803712512%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-167,15-10-2022,"Santa Marta, Cárdenas",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,"Inventario reporta un Cacerolazo, pero no hay información al respecto.",Estado cubano,NULL,NULL,https://maphub.net/proyectoinventario/protestas-verano-2022-en-cuba
P22-168,15-10-2022,"Antillas, Holguín",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demanda la falta de electricidad.,Estado cubano,NULL,NULL,https://twitter.com/AdrianGlibertad/status/1581462337147482112?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1581462337147482112%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-169,17-10-2022,"Antilla, Holguin",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Electricidad en Antilla, Holguín. El pueblo le sale al paso al agente del G2 Henry Borrego, quien se presentó en el barrio de La Cuchilla para hacerle frente al descontento pueblo que lleva 3 días sin electricidad.",NULL,NULL,NULL,https://www.facebook.com/groups/202328290828869/posts/776241783437514/
P22-170,17-10-2022,La Habana Arroyo Naranjo Santa Amalia,Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Electricidad.,NULL,NULL,NULL,https://twitter.com/mjorgec1994/status/1582220073162330112?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1582220073162330112%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=
P22-171,17-10-2022,Las TunasReparto Buena Vista,Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Electricidad.,NULL,"""Queremos corriente"" y ""Pongan la corriente, pinga"".",NULL,https://twitter.com/YannisEst/status/1582182789289582593?s=20
